"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3602","Оформление заказа и проверка переходов по логотипам","tests","2026-04-23","passed","2026-04-23","TestOrderPage","test_order_page","",""
"","625","Проверка текста ответов в выпадающем списке","tests","2026-04-23","passed","2026-04-23","TestMainPage","test_main_page","",""
"","635","Проверка текста ответов в выпадающем списке","tests","2026-04-23","passed","2026-04-23","TestMainPage","test_main_page","",""
"","619","Проверка текста ответов в выпадающем списке","tests","2026-04-23","passed","2026-04-23","TestMainPage","test_main_page","",""
"","626","Проверка текста ответов в выпадающем списке","tests","2026-04-23","passed","2026-04-23","TestMainPage","test_main_page","",""
"","628","Проверка текста ответов в выпадающем списке","tests","2026-04-23","passed","2026-04-23","TestMainPage","test_main_page","",""
"","618","Проверка текста ответов в выпадающем списке","tests","2026-04-23","passed","2026-04-23","TestMainPage","test_main_page","",""
"","2029","Оформление заказа и проверка переходов по логотипам","tests","2026-04-23","passed","2026-04-23","TestOrderPage","test_order_page","",""
"","632","Проверка текста ответов в выпадающем списке","tests","2026-04-23","passed","2026-04-23","TestMainPage","test_main_page","",""
"","627","Проверка текста ответов в выпадающем списке","tests","2026-04-23","passed","2026-04-23","TestMainPage","test_main_page","",""
